pl_name,hostname,disc_year,discoverymethod,sy_snum,sy_pnum,sy_mnum,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,pl_dens,pl_orbeccen,pl_bmasse,st_spectype,st_teff,st_rad,st_mass,st_age,ra,dec,sy_dist
HD 191939 c,HD 191939,2020,Transit,1,6,0,3.195,8.0,28.579743,0.1752,600.0,21.0,1.35,0.034,8.0,G9 V,5348.0,0.94,0.81,8.7,302.0256247,66.8503014,53.6089
HD 191939 d,HD 191939,2020,Transit,1,6,0,2.995,2.8,38.353037,0.2132,540.0,14.3,0.57,0.031,2.8,G9 V,5348.0,0.94,0.81,8.7,302.0256247,66.8503014,53.6089
HD 207496 b,HD 207496,2023,Transit,1,1,0,2.25,6.1,6.441008,0.0629,743.0,72.9,3.17,0.231,6.1,K2.5 V,4819.0,0.769,0.8,0.52,328.7181708,-77.3388025,23.606
HD 207897 b,HD 207897,2021,Transit,1,1,0,2.501,14.4,16.202159,0.1163,632.2,26.5,5.05,0.047,14.4,K0 V,5070.0,0.779,0.8,7.1,325.2016451,84.3337613,28.2938
HD 260655 b,HD 260655,2022,Transit,1,2,0,1.24,2.14,2.76953,0.02933,709.0,42.2,6.2,0.039,2.14,M0 V,3803.0,0.439,0.439,5.0,99.2915429,17.5662696,10.0055
HD 260655 c,HD 260655,2022,Transit,1,2,0,1.533,3.09,5.70588,0.04749,557.0,16.1,4.7,0.038,3.09,M0 V,3803.0,0.439,0.439,5.0,99.2915429,17.5662696,10.0055
HD 332231 b,HD 332231,2020,Transit,1,1,0,9.718203,77.55052,18.71204,0.1436,876.0,98.09,0.464,0.032,77.55052,F8,6089.0,1.277,1.127,4.3,306.741134,33.7443882,80.6665
HD 5278 b,HD 5278,2021,Transit,1,2,0,2.45,7.8,14.339156,0.1202,943.0,132.0,2.9,0.08,7.8,F V,6203.0,1.194,1.126,3.0,12.5467785,-83.7437671,57.5846
HD 73583 b,HD 73583,2022,Transit,1,2,0,2.79,10.2,6.398042,0.0604,714.0,43.3,2.58,0.09,10.2,K4 V,4511.0,0.65,0.73,0.48,129.6883026,-13.2565267,31.5666
HD 73583 b,HD 73583,2022,Transit,1,2,0,2.84,15.9,6.3980661,0.05995,742.7,46.2,3.8,0.294,15.9,K4,4582.0,0.677,0.702,0.78,129.6883026,-13.2565267,31.5666
HD 73583 c,HD 73583,2022,Transit,1,2,0,2.39,9.7,18.87974,0.1242,498.0,10.2,3.88,0.08,9.7,K4 V,4511.0,0.65,0.73,0.48,129.6883026,-13.2565267,31.5666
HD 73583 c,HD 73583,2022,Transit,1,2,0,2.73,22.5,18.8805,0.1233,517.8,11.76,6.1,0.093,22.5,K4,4582.0,0.677,0.702,0.78,129.6883026,-13.2565267,31.5666
HD 95338 b,HD 95338,2020,Radial Velocity,1,1,0,3.89,42.44,55.087,0.262,385.0,7.42,3.98,0.197,42.44,K0.5 V,5212.0,0.87,0.83,5.08,164.8563364,-56.6235564,36.9941
HIP 65 A b,HIP 65 A,2020,Transit,2,1,0,22.75427,1021.18779,0.9809734,0.01782,1411.0,661.0,0.48,0.0,1021.18779,K4 V,4590.0,0.7242,0.781,4.1,0.1856063,-54.8308228,61.7856
K2-100 b,K2-100,2016,Transit,1,1,0,3.88,21.8,1.6739035,0.0301,1841.0,1915.0,2.04,0.0,21.8,G0 V,5945.0,1.24,1.15,0.75,129.6010863,20.1060074,188.959
K2-140 b,K2-140,2017,Transit,1,1,0,12.273855,323.86877,6.5693,0.0591,1114.0,188.5,0.963,0.12,323.86877,G5,5654.0,0.987,1.005,4.22,188.1373172,-9.6076115,347.917
K2-140 b,K2-140,2017,Transit,1,1,0,13.56286665,295.58041851,6.569188,0.068,962.0,204.0,0.66,0.0,295.58041851,G6 V,5585.0,1.06,0.96,9.8,188.1373172,-9.6076115,347.917
K2-180 b,K2-180,2018,Transit,1,1,0,2.24179614,11.44182265,8.8665,0.075,729.0,67.0,5.6,0.0,11.44182265,K2 V,5110.0,0.69,0.71,9.5,126.4643579,10.246577,203.896
K2-24 b,K2-24,2016,Transit,1,2,0,5.68,21.0,20.8851,0.154,767.0,60.0,0.63,0.0,21.0,G3,5743.0,1.21,1.12,5.1,242.5734559,-24.9906029,170.562
K2-24 c,K2-24,2016,Transit,1,2,0,7.82,27.0,42.3633,0.247,606.0,24.0,0.31,0.0,27.0,G3,5743.0,1.21,1.12,5.1,242.5734559,-24.9906029,170.562
K2-292 b,K2-292,2019,Transit,1,1,0,2.63,24.5,16.9841,0.13,795.0,67.0,7.4,0.04,24.5,G3 V,5725.0,1.09,1.0,6.8,205.3758786,-9.9460704,114.293
K2-3 b,K2-3,2015,Transit,1,3,0,2.078,5.11,10.0546535,0.0747,501.3,10.5,3.11,0.107,5.11,M V,3844.0,0.546,0.549,6.9,172.3353708,-1.4551364,44.0727
K2-3 c,K2-3,2015,Transit,1,3,0,1.582,2.68,24.646729,0.1357,371.8,3.17,3.7,0.048,2.68,M V,3844.0,0.546,0.549,6.9,172.3353708,-1.4551364,44.0727
K2-38 b,K2-38,2016,Transit,1,2,0,1.54,7.3,4.01593,0.04994,1266.0,426.0,11.0,0.197,7.3,G2 V,5731.0,1.06,1.03,6.7,240.0333095,-23.1894196,192.69
K2-38 c,K2-38,2016,Transit,1,2,0,2.29,8.3,10.56103,0.09514,916.0,117.0,3.8,0.161,8.3,G2 V,5731.0,1.06,1.03,6.7,240.0333095,-23.1894196,192.69
KELT-18 b,KELT-18,2017,Transit,2,1,0,17.59813,375.0394,2.8717518,0.0455,2085.0,3152.0,0.377,0.0,375.0394,F4 V,6670.0,1.908,1.524,1.9,216.5238248,59.4442735,321.376
KELT-21 b,KELT-21,2018,Transit,1,1,0,17.777474,1242.7153,3.6127647,0.05224,2051.0,2950.0,1.24,0.0,1242.7153,A8 V,7598.0,1.638,1.458,1.6,304.8000322,32.5810446,470.878
KELT-23 A b,KELT-23 A,2019,Transit,2,1,0,14.829507,298.12454,2.255251,0.03302,1561.0,991.183,0.503,0.0,298.12454,G2 V,5899.0,0.996,0.944,6.4,232.1466406,66.3587097,126.261
KELT-4 A b,KELT-4 A,2016,Transit,3,1,0,19.044091,286.68266,2.9895932,0.04317,1823.0,1840.0,0.228,0.0,286.68266,F,6206.0,1.603,1.201,4.44,157.06262,25.5731366,218.05
KELT-9 b,KELT-9,2017,Transit,2,1,0,21.196219,915.3504,1.4811235,0.03462,4050.0,44900.0,0.53,0.0,915.3504,B9.5-A0,10170.0,2.362,2.52,0.3,307.8598998,39.9389161,204.455
Kepler-1654 b,Kepler-1654,2018,Transit,1,1,0,9.180171,158.915,1047.8356,2.026,206.0,0.3,1.2,0.26,158.915,G5 V,5597.0,1.179,1.011,5.0,282.1856949,44.4344617,568.117
Kepler-1661 b,Kepler-1661,2020,Transit,2,1,0,3.87,17.0,175.06,0.633,243.0,0.88,1.6,0.057,17.0,K,5100.0,0.762,0.841,2.0,285.1670927,41.9669383,410.607
L 98-59 b,L 98-59,2019,Transit,1,4,0,0.85,0.4,2.2531136,0.02191,627.0,24.7,3.6,0.103,0.4,M3 V,3415.0,0.303,0.273,0.8,124.5328604,-68.3144658,10.6194
L 98-59 c,L 98-59,2019,Transit,1,4,0,1.385,2.22,3.6906777,0.0304,553.0,12.8,4.57,0.103,2.22,M3 V,3415.0,0.303,0.273,0.8,124.5328604,-68.3144658,10.6194
L 98-59 d,L 98-59,2019,Transit,1,4,0,1.521,1.94,7.4507245,0.0486,416.0,5.01,2.95,0.074,1.94,M3 V,3415.0,0.303,0.273,0.8,124.5328604,-68.3144658,10.6194
LHS 1140 b,LHS 1140,2017,Transit,1,2,0,1.73,5.6,24.73723,0.0946,226.0,0.43,5.9,0.043,5.6,M4.5 V,3096.0,0.2159,0.1844,5.0,11.248632,-15.2741085,14.9861
LHS 1140 b,LHS 1140,2017,Transit,1,2,0,1.43,6.65,24.73712,0.0875,230.0,0.46,12.5,0.29,6.65,M4.5 V,3131.0,0.186,0.146,5.0,11.248632,-15.2741085,14.9861
LHS 1140 c,LHS 1140,2018,Transit,1,2,0,1.272,1.91,3.77794,0.027,422.0,5.3,5.1,0.05,1.91,M4.5 V,3096.0,0.2159,0.1844,5.0,11.248632,-15.2741085,14.9861
NGTS-12 b,NGTS-12,2020,Transit,1,1,0,11.747032,66.10864,7.532806,0.0757,1257.0,416.0,0.223,0.0,66.10864,G,5690.0,1.589,1.021,9.4,176.2499418,-35.640563,446.442
NGTS-15 b,NGTS-15,2021,Transit,1,1,0,12.32987877,238.68913366,3.27623,0.0441,1146.0,425.0,0.74,0.0,238.68913366,G6 V,5600.0,0.954,0.995,3.28,73.3553101,-32.8003484,786.485
NGTS-16 b,NGTS-16,2021,Transit,1,1,0,14.57167491,211.99154747,4.84532,0.0523,1177.0,480.0,0.38,0.0,211.99154747,G7 V,5550.0,1.213,1.002,10.29,58.2639299,-30.8046405,898.168
NGTS-17 b,NGTS-17,2021,Transit,1,1,0,13.89913607,242.82090295,3.24253,0.0391,1457.0,1160.0,0.5,0.0,242.82090295,G4 V,5650.0,1.337,1.025,9.22,72.9005729,-34.2262128,1040.28
NGTS-18 b,NGTS-18,2021,Transit,1,1,0,13.56286665,129.99181846,3.05125,0.0448,1381.0,845.0,0.28,0.0,129.99181846,G5 V,5610.0,1.392,1.003,10.84,180.5462193,-35.5486091,1096.19
NGTS-8 b,NGTS-8,2019,Transit,1,1,0,12.21781,295.5819,2.4997,0.035,1345.0,503.0,0.89,0.01,295.5819,K0 V,5241.0,0.98,0.89,12.48,328.9759206,-14.0684399,428.976
NGTS-9 b,NGTS-9,2019,Transit,1,1,0,11.99363,921.707,4.43527,0.058,1448.0,729.0,2.93,0.06,921.707,F8 V,6330.0,1.38,1.34,0.96,141.9206435,-19.3476477,609.128
Qatar-3 b,Qatar-3,2017,Transit,1,1,0,12.285064,1369.8473,2.5079204,0.03783,1681.0,1330.0,4.0,0.0,1369.8473,G0 V,6007.0,1.272,1.145,0.31,359.1519716,36.2129562,735.601
Qatar-4 b,Qatar-4,2017,Transit,1,1,0,12.722215,1938.763,1.8053564,0.02803,1385.0,614.0,5.1,0.0,1938.763,K1 V,5215.0,0.849,0.896,0.17,4.859275,44.0275965,329.036
Qatar-5 b,Qatar-5,2017,Transit,1,1,0,12.408363,1373.0256,2.8792319,0.04127,1415.0,669.0,3.95,0.0,1373.0256,G2 V,5747.0,1.076,1.128,0.53,7.0539375,42.0613451,367.658
TIC 139270665 b,TIC 139270665,2024,Transit,1,2,0,7.22979255,147.15455244,23.624,0.163,703.0,40.3,2.13,0.105,147.15455244,G2,5844.0,1.016,1.035,3.4,124.0338967,33.2914532,189.875
TOI-1062 b,TOI-1062,2021,Transit,1,2,0,2.265,10.15,4.11296,0.052,1077.0,232.0,4.85,0.177,10.15,G9 V,5328.0,0.84,0.94,2.5,38.1209678,-78.0236828,82.1733
TOI-1075 b,TOI-1075,2022,Transit,1,1,0,1.791,9.95,0.6047328,0.01159,1323.0,509.2,9.32,0.0,9.95,K9 V/M0 V,3875.0,0.581,0.604,6.0,309.9712091,-65.4496994,61.4592
TOI-1107 b,TOI-1107,2022,Transit,1,1,0,14.57167491,1064.72516345,4.0782387,0.0561,1728.0,532.0,1.89,0.025,1064.72516345,F6 V,6311.0,1.81,1.35,2.6,155.6078632,-82.2188693,281.314
TOI-1130 b,TOI-1130,2020,Transit,1,2,0,3.56,19.28,4.07445,0.04457,632.17,78.1,2.34,0.0541,19.28,K6-K7,4350.0,0.695,0.712,4.1,286.3760037,-41.4376399,58.2609
TOI-1130 c,TOI-1130,2020,Transit,1,2,0,13.32,325.69,8.350231,0.07191,497.7,30.0,0.75,0.0457,325.69,K6-K7,4350.0,0.695,0.712,4.1,286.3760037,-41.4376399,58.2609
TOI-1173 b,TOI-1173,2024,Transit,2,1,0,9.19,27.4,7.06466,0.0696,868.0,132.0,0.195,0.023,27.4,G9,5350.0,0.934,0.911,8.7,197.6830975,70.7680117,132.353
TOI-125 b,TOI-125,2019,Transit,1,3,0,2.726,9.5,4.65382,0.05186,1037.0,185.0,2.57,0.194,9.5,K0 V,5320.0,0.848,0.859,6.8,23.5934253,-66.6763495,111.059
TOI-125 c,TOI-125,2019,Transit,1,3,0,2.759,6.63,9.15059,0.0814,827.8,77.59,1.73,0.066,6.63,K0 V,5320.0,0.848,0.859,6.8,23.5934253,-66.6763495,111.059
TOI-125 d,TOI-125,2020,Transit,1,3,0,2.93,13.6,19.98,0.137,638.1,26.7,2.98,0.168,13.6,K0 V,5320.0,0.848,0.859,6.8,23.5934253,-66.6763495,111.059
TOI-1295 b,TOI-1295,2024,Transit,1,1,0,15.69257298,451.31633794,3.1968838,0.047,2360.0,1800.0,0.65,0.024,451.31633794,F,6280.0,1.7,1.38,2.0,256.6722026,67.8715032,388.227
TOI-132 b,TOI-132,2020,Transit,1,1,0,3.42,22.4,2.1097019,0.026,1395.0,860.0,3.08,0.059,22.4,G8 V,5397.0,0.9,0.97,6.34,338.3996623,-43.436872,163.678
TOI-1386 b,TOI-1386,2024,Transit,1,2,0,6.05284958,47.03860424,25.83839,0.1732,676.4,34.68,1.16,0.061,47.03860424,G5V,5793.0,1.015,1.038,3.3,334.5041029,54.3190454,146.858
TOI-1416 b,TOI-1416,2023,Transit,1,1,0,1.62,3.48,1.0697568,0.019,1517.0,883.0,4.5,0.0,3.48,G9 V,4884.0,0.793,0.798,6.9,216.9234892,41.9529862,55.0135
TOI-1431 b,TOI-1431,2021,Transit,1,1,0,16.70138124,991.62462984,2.650237,0.046,2370.0,5300.0,1.17,0.0022,991.62462984,Am C,7690.0,1.92,1.9,0.29,316.2036922,55.5880221,148.925
